Date : 2020-12-21 13:27:14
Directory : /Users/callum/Workplace/Otherworld/site/src
Total : 197 files,  10195 codes, 431 comments, 1708 blanks, all 12334 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| client/services                                                                                                |         42 |      2,572 |         65 |        593 |      3,230 |
| client/services/audio                                                                                          |          2 |        100 |          1 |         19 |        120 |
| client/services/input                                                                                          |          5 |        138 |          5 |         31 |        174 |
| client/services/interaction                                                                                    |          2 |        123 |          0 |         28 |        151 |
| client/services/jobs                                                                                           |          1 |        131 |          0 |         25 |        156 |
| client/services/physics                                                                                        |          1 |        177 |          2 |         48 |        227 |
| client/services/render                                                                                         |         25 |      1,694 |         57 |        398 |      2,149 |
| client/services/render/components                                                                              |          3 |         50 |         39 |         18 |        107 |
| client/services/render/services                                                                                |          6 |      1,040 |         18 |        255 |      1,313 |
| client/services/render/shaders                                                                                 |         12 |        423 |          0 |         89 |        512 |
| client/services/render/shaders/fragment                                                                        |          5 |        114 |          0 |         38 |        152 |
| client/services/render/shaders/vertex                                                                          |          4 |        127 |          0 |         33 |        160 |
| client/services/render/types                                                                                   |          2 |         64 |          0 |         19 |         83 |
| client/services/serialisation                                                                                  |          4 |        117 |          0 |         24 |        141 |
| client/types                                                                                                   |          3 |         16 |          0 |          4 |         20 |
| client/ui                                                                                                      |         45 |      2,555 |        122 |        298 |      2,975 |
| client/ui/actions                                                                                              |          4 |         73 |          0 |         18 |         91 |
| client/ui/components                                                                                           |         16 |      1,128 |         73 |        131 |      1,332 |
| client/ui/containers                                                                                           |         12 |        979 |         49 |         94 |      1,122 |
| client/ui/containers/minigame                                                                                  |          2 |        153 |          1 |         15 |        169 |
| client/ui/effects                                                                                              |          2 |         29 |          0 |          6 |         35 |
| client/ui/reducers                                                                                             |          7 |        239 |          0 |         32 |        271 |
| client/ui/saga                                                                                                 |          2 |         24 |          0 |          5 |         29 |
| client/uisite                                                                                                  |         10 |        349 |          3 |         46 |        398 |
| client/uisite/__tests__                                                                                        |          1 |         23 |          0 |          4 |         27 |
| client/uisite/components                                                                                       |          3 |         91 |          0 |         15 |        106 |
| client/util                                                                                                    |         21 |        851 |          3 |        162 |      1,016 |
| client/util/animation                                                                                          |          5 |        293 |          1 |         54 |        348 |
| client/util/array                                                                                              |          3 |        125 |          0 |         24 |        149 |
| client/util/math                                                                                               |          8 |        297 |          1 |         55 |        353 |
| client/util/math/__tests__                                                                                     |          2 |         39 |          0 |          7 |         46 |
| client/util/time                                                                                               |          4 |        136 |          1 |         28 |        165 |
| server                                                                                                         |          3 |         90 |          3 |         21 |        114 |
| server/errors                                                                                                  |          1 |         10 |          0 |          2 |         12 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                       | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/callum/Workplace/Otherworld/site/src/client/Config.ts                                                   | TypeScript       |         19 |          0 |          7 |         26 |
| /Users/callum/Workplace/Otherworld/site/src/client/Game.ts                                                     | TypeScript       |        177 |          1 |         34 |        212 |
| /Users/callum/Workplace/Otherworld/site/src/client/GameComponent.tsx                                           | TypeScript React |         64 |          0 |          4 |         68 |
| /Users/callum/Workplace/Otherworld/site/src/client/GameContext.tsx                                             | TypeScript React |          4 |          0 |          2 |          6 |
| /Users/callum/Workplace/Otherworld/site/src/client/Index.tsx                                                   | TypeScript React |         20 |          1 |          4 |         25 |
| /Users/callum/Workplace/Otherworld/site/src/client/SiteContainer.tsx                                           | TypeScript React |         26 |          0 |          4 |         30 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/Entity.ts                                            | TypeScript       |         89 |          2 |         13 |        104 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/EntityComponent.ts                                   | TypeScript       |         10 |          0 |          3 |         13 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/World.ts                                             | TypeScript       |         53 |          0 |         12 |         65 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/commands/Command.ts                                  | TypeScript       |          3 |          0 |          2 |          5 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/commands/InventoryCommands.ts                        | TypeScript       |         91 |         22 |         12 |        125 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/commands/MiniGameCommands.ts                         | TypeScript       |         21 |          0 |          2 |         23 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/commands/PlayerCommands.ts                           | TypeScript       |         27 |          0 |          4 |         31 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/commands/UICommands.ts                               | TypeScript       |         25 |          0 |          4 |         29 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/components/core/BoundaryComponent.ts                 | TypeScript       |         55 |          0 |          8 |         63 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/components/core/FloorRenderComponent.ts              | TypeScript       |         66 |          0 |          7 |         73 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/components/core/InteractionComponent.ts              | TypeScript       |        106 |          0 |         11 |        117 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/components/core/ParticleRenderComponent.ts           | TypeScript       |         52 |          0 |          5 |         57 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/components/core/PhysicsComponent.ts                  | TypeScript       |         37 |          0 |          7 |         44 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/components/core/SpriteRenderComponent.ts             | TypeScript       |         78 |          0 |         10 |         88 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/components/core/WallRenderComponent.ts               | TypeScript       |         64 |          0 |          7 |         71 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/components/util/AnimationComponent.ts                | TypeScript       |         20 |          0 |          3 |         23 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/components/util/JoinComponent.ts                     | TypeScript       |         33 |          0 |          3 |         36 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/components/util/SwitchComponent.ts                   | TypeScript       |         56 |          0 |         12 |         68 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/components/util/TimeoutEffect.ts                     | TypeScript       |         24 |          0 |          2 |         26 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/events/BallEvents.ts                                 | TypeScript       |         11 |          0 |          4 |         15 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/events/EnemyEvents.ts                                | TypeScript       |          7 |          0 |          3 |         10 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/events/EntityEvents.ts                               | TypeScript       |         22 |          0 |          5 |         27 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/events/Event.ts                                      | TypeScript       |         26 |          0 |          4 |         30 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/events/InteractionEvents.ts                          | TypeScript       |         12 |         15 |          7 |         34 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/events/MiniGameEvents.ts                             | TypeScript       |         11 |          0 |          5 |         16 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/events/PhysicsEvents.ts                              | TypeScript       |         12 |          0 |          5 |         17 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/events/PlayerEvents.ts                               | TypeScript       |         61 |          0 |         14 |         75 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/events/TravelEvents.ts                               | TypeScript       |         23 |          0 |          6 |         29 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/player/Player.ts                                     | TypeScript       |        288 |         58 |         42 |        388 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/Bootstrap.ts                               | TypeScript       |         45 |         40 |         19 |        104 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/ScriptingService.ts                        | TypeScript       |         68 |         22 |         17 |        107 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/factory/DoorFactory.ts                     | TypeScript       |        282 |          2 |         22 |        306 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/factory/EnemyFactory.ts                    | TypeScript       |         75 |          0 |          5 |         80 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/factory/ItemFactory.ts                     | TypeScript       |        196 |          0 |         16 |        212 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/factory/PlayerFactory.ts                   | TypeScript       |          5 |          0 |          2 |          7 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/factory/SceneryFactory.ts                  | TypeScript       |        187 |          0 |         15 |        202 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/factory/Serial.ts                          | TypeScript       |          3 |          0 |          1 |          4 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/items/ItemBehaviours.ts                    | TypeScript       |         44 |          0 |         10 |         54 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/items/behaviours/HealsPlayer.ts            | TypeScript       |         19 |          0 |          2 |         21 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/items/behaviours/MakesNoiseWhenConsumed.ts | TypeScript       |          8 |          8 |          2 |         18 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/items/helper.ts                            | TypeScript       |         23 |          0 |          4 |         27 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/items/tests/helper.test.ts                 | TypeScript       |         36 |          0 |          8 |         44 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/scripting/items/types.ts                             | TypeScript       |         39 |          0 |         10 |         49 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/state/Macator.ts                                     | TypeScript       |         24 |          0 |          5 |         29 |
| /Users/callum/Workplace/Otherworld/site/src/client/engine/state/State.ts                                       | TypeScript       |         31 |          0 |          7 |         38 |
| /Users/callum/Workplace/Otherworld/site/src/client/generation/genetic/GeneticGenerator.ts                      | TypeScript       |          0 |          0 |          1 |          1 |
| /Users/callum/Workplace/Otherworld/site/src/client/generation/model/MapNode.ts                                 | TypeScript       |         15 |          0 |          5 |         20 |
| /Users/callum/Workplace/Otherworld/site/src/client/generation/model/QuadMap.ts                                 | TypeScript       |        143 |          0 |         26 |        169 |
| /Users/callum/Workplace/Otherworld/site/src/client/generation/model/__tests__/MapNode.test.ts                  | TypeScript       |         15 |          0 |          4 |         19 |
| /Users/callum/Workplace/Otherworld/site/src/client/generation/scenery/Block.ts                                 | TypeScript       |         53 |          0 |          1 |         54 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/ResourceManager.ts                                | TypeScript       |        135 |          0 |         17 |        152 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/ResourceManifestBuilder.ts                        | TypeScript       |         53 |          0 |          9 |         62 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/SpriteSheet.ts                                    | TypeScript       |        146 |          0 |         21 |        167 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/TextureLoader.ts                                  | TypeScript       |         52 |          5 |          7 |         64 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/Types.ts                                          | TypeScript       |         72 |          0 |         16 |         88 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/design/Colour.ts                                  | TypeScript       |          8 |          0 |          2 |         10 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/design/Spacing.ts                                 | TypeScript       |          4 |          0 |          1 |          5 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/manifests/Items.ts                                | TypeScript       |         19 |         54 |          9 |         82 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/manifests/Resources.ts                            | TypeScript       |         10 |          1 |          5 |         16 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/manifests/Sprites.ts                              | TypeScript       |         21 |          0 |          4 |         25 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/manifests/Types.ts                                | TypeScript       |          3 |          0 |          1 |          4 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/maps/MapLayerConverters.ts                        | TypeScript       |         27 |          0 |          6 |         33 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/maps/MapLoader.ts                                 | TypeScript       |         67 |          0 |         10 |         77 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/maps/MapShema.ts                                  | TypeScript       |         28 |          3 |          9 |         40 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/maps/converter/DefaultLayerConverter.ts           | TypeScript       |         58 |          0 |          4 |         62 |
| /Users/callum/Workplace/Otherworld/site/src/client/resources/maps/maps/Prison.ts                               | TypeScript       |         52 |          0 |          2 |         54 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/EventRouter.ts                                     | TypeScript       |         33 |          0 |          7 |         40 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/ServiceLocator.ts                                  | TypeScript       |         59 |          0 |         13 |         72 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/audio/AudioObject.ts                               | TypeScript       |          4 |          0 |          1 |          5 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/audio/AudioService.ts                              | TypeScript       |         96 |          1 |         18 |        115 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/input/ControlScheme.ts                             | TypeScript       |          5 |          0 |          1 |          6 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/input/DefaultControlScheme.ts                      | TypeScript       |         47 |          0 |          8 |         55 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/input/InputService.ts                              | TypeScript       |         65 |          5 |         12 |         82 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/input/InventoryControlScheme.ts                    | TypeScript       |         13 |          0 |          5 |         18 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/input/MenuControlScheme.ts                         | TypeScript       |          8 |          0 |          5 |         13 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/interaction/InteractionService.ts                  | TypeScript       |        109 |          0 |         23 |        132 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/interaction/InteractionType.ts                     | TypeScript       |         14 |          0 |          5 |         19 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/jobs/ProcedureService.ts                           | TypeScript       |        131 |          0 |         25 |        156 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/physics/PhysicsService.ts                          | TypeScript       |        177 |          2 |         48 |        227 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/RenderService.ts                            | TypeScript       |        114 |          0 |         16 |        130 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/components/CanvasComponent.tsx              | TypeScript React |         35 |         14 |          8 |         57 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/components/ScreenBuffer.ts                  | TypeScript       |         13 |         25 |          9 |         47 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/components/index.ts                         | TypeScript       |          2 |          0 |          1 |          3 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/index.ts                                    | TypeScript       |          3 |          0 |          1 |          4 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/services/BackgroundRenderService.ts         | TypeScript       |         85 |          4 |         12 |        101 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/services/FloorRenderService.ts              | TypeScript       |        234 |          2 |         58 |        294 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/services/ParticleRenderService.ts           | TypeScript       |        206 |          3 |         52 |        261 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/services/ScreenShakeService.ts              | TypeScript       |         23 |          0 |          8 |         31 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/services/SpriteRenderService.ts             | TypeScript       |        252 |          7 |         65 |        324 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/services/WallRenderService.ts               | TypeScript       |        240 |          2 |         60 |        302 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/ShaderCompiler.ts                   | TypeScript       |         34 |          0 |          8 |         42 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/Shaders.ts                          | TypeScript       |        137 |          0 |          7 |        144 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/fragment/ColourFragment.ts          | TypeScript       |         13 |          0 |          5 |         18 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/fragment/Fade.ts                    | TypeScript       |         31 |          0 |         10 |         41 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/fragment/Fragment.ts                | TypeScript       |         20 |          0 |          8 |         28 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/fragment/Haze.ts                    | TypeScript       |         30 |          0 |          8 |         38 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/fragment/RepeatedFragment.ts        | TypeScript       |         20 |          0 |          7 |         27 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/types.ts                            | TypeScript       |         11 |          0 |          3 |         14 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/vertex/BillboardVertex.ts           | TypeScript       |         38 |          0 |          8 |         46 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/vertex/ParticleVertex.ts            | TypeScript       |         33 |          0 |          8 |         41 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/vertex/RepeatedVertex.ts            | TypeScript       |         33 |          0 |          8 |         41 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/shaders/vertex/Vertex.ts                    | TypeScript       |         23 |          0 |          9 |         32 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/types/RenderInterface.ts                    | TypeScript       |         55 |          0 |         16 |         71 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/render/types/RenderItemInterface.ts                | TypeScript       |          9 |          0 |          3 |         12 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/serialisation/Listeners.ts                         | TypeScript       |         17 |          0 |          3 |         20 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/serialisation/Serialisable.ts                      | TypeScript       |          4 |          0 |          1 |          5 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/serialisation/SerialisationService.ts              | TypeScript       |         81 |          0 |         15 |         96 |
| /Users/callum/Workplace/Otherworld/site/src/client/services/serialisation/Storage.ts                           | TypeScript       |         15 |          0 |          5 |         20 |
| /Users/callum/Workplace/Otherworld/site/src/client/types/TypesRender.ts                                        | TypeScript       |         10 |          0 |          2 |         12 |
| /Users/callum/Workplace/Otherworld/site/src/client/types/TypesVector.ts                                        | TypeScript       |          4 |          0 |          1 |          5 |
| /Users/callum/Workplace/Otherworld/site/src/client/types/index.ts                                              | TypeScript       |          2 |          0 |          1 |          3 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/State.ts                                                 | TypeScript       |         51 |          0 |          8 |         59 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/UIContainer.tsx                                          | TypeScript React |         32 |          0 |          4 |         36 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/actions/Actions.ts                                       | TypeScript       |          9 |          0 |          2 |         11 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/actions/GameStartActions.ts                              | TypeScript       |         42 |          0 |          9 |         51 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/actions/KeyHintActions.ts                                | TypeScript       |         15 |          0 |          4 |         19 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/actions/MiniGameActions.ts                               | TypeScript       |          7 |          0 |          3 |         10 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/AnimationImageComponent.tsx                   | TypeScript React |         28 |          0 |          3 |         31 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/FadeComponent.tsx                             | TypeScript React |         51 |          0 |          7 |         58 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/GamePanelComponent.tsx                        | TypeScript React |         50 |          0 |          7 |         57 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/HealthBarComponent.tsx                        | TypeScript React |         56 |         16 |         11 |         83 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/InventoryItemComponent.tsx                    | TypeScript React |        103 |         22 |          8 |        133 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/ItemCollectionComponent.tsx                   | TypeScript React |        125 |          1 |         10 |        136 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/KeyComponent.tsx                              | TypeScript React |         74 |          1 |          5 |         80 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/KeyHintComponent.tsx                          | TypeScript React |         89 |          1 |          9 |         99 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/LockButtonComponent.tsx                       | TypeScript React |         70 |          2 |          6 |         78 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/LockMatrixComponent.tsx                       | TypeScript React |         67 |          0 |          7 |         74 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/ShadowComponent.tsx                           | TypeScript React |         16 |          0 |          5 |         21 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/SpriteImageComponent.tsx                      | TypeScript React |         27 |          0 |          3 |         30 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/TextComponent.tsx                             | TypeScript React |         67 |          0 |         13 |         80 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/TooltipComponent.tsx                          | TypeScript React |        197 |         11 |         21 |        229 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/ViewportComponent.tsx                         | TypeScript React |         29 |          0 |          3 |         32 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/components/WeaponComponent.tsx                           | TypeScript React |         79 |         19 |         13 |        111 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/containers/GameButtonContainer.tsx                       | TypeScript React |         49 |          0 |          7 |         56 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/containers/GameFadeContainer.tsx                         | TypeScript React |         31 |          0 |          3 |         34 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/containers/GameMenuContainer.tsx                         | TypeScript React |         94 |          0 |          7 |        101 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/containers/InventoryContainer.tsx                        | TypeScript React |        153 |         31 |          9 |        193 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/containers/ItemCollectionContainer.tsx                   | TypeScript React |        102 |          0 |          9 |        111 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/containers/KeyHintsContainer.tsx                         | TypeScript React |        102 |          1 |         13 |        116 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/containers/LoadingScreenContainer.tsx                    | TypeScript React |         60 |          0 |          8 |         68 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/containers/OldKeyHintsContainer.tsx                      | TypeScript React |        147 |         16 |         13 |        176 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/containers/PlayModeContainer.tsx                         | TypeScript React |         30 |          0 |          5 |         35 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/containers/ScoreContainer.tsx                            | TypeScript React |         58 |          0 |          5 |         63 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/containers/minigame/LockPickContainer.tsx                | TypeScript React |         75 |          0 |          9 |         84 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/containers/minigame/MiniGameContainer.tsx                | TypeScript React |         78 |          1 |          6 |         85 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/effects/GameEffect.ts                                    | TypeScript       |          8 |          0 |          3 |         11 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/effects/GlobalState.ts                                   | TypeScript       |         21 |          0 |          3 |         24 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/reducers/GameStartReducer.ts                             | TypeScript       |         63 |          0 |          4 |         67 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/reducers/HealthBarReducer.ts                             | TypeScript       |         34 |          0 |          4 |         38 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/reducers/InventoryReducer.ts                             | TypeScript       |         26 |          0 |          5 |         31 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/reducers/KeyHintReducer.ts                               | TypeScript       |         38 |          0 |          6 |         44 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/reducers/MiniGameReducer.ts                              | TypeScript       |         37 |          0 |          5 |         42 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/reducers/UIReducer.ts                                    | TypeScript       |         14 |          0 |          4 |         18 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/reducers/WeaponReducer.ts                                | TypeScript       |         27 |          0 |          4 |         31 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/saga/PlayerKilled.ts                                     | TypeScript       |         22 |          0 |          3 |         25 |
| /Users/callum/Workplace/Otherworld/site/src/client/ui/saga/Saga.ts                                             | TypeScript       |          2 |          0 |          2 |          4 |
| /Users/callum/Workplace/Otherworld/site/src/client/uisite/NavbarContainer.tsx                                  | TypeScript React |        114 |          3 |         11 |        128 |
| /Users/callum/Workplace/Otherworld/site/src/client/uisite/PageAbout.tsx                                        | TypeScript React |         10 |          0 |          2 |         12 |
| /Users/callum/Workplace/Otherworld/site/src/client/uisite/PageAnnouncements.tsx                                | TypeScript React |         13 |          0 |          2 |         15 |
